IdCliente;Nombre;Sexo;Edad;Ciudad;Region;Segmento
C001;Carmen Vargas;M;27;Lima;Costa;Frecuente
C002;Pedro Vargas;M;35;Cusco;Sierra;Frecuente
C003;Carmen Díaz;F;50;Lima;Costa;Frecuente
C004;Luis Torres;M;51;Trujillo;Costa;Premium
C005;Miguel Pérez;F;20;Trujillo;Costa;Ocasional
C006;Juan Flores;M;34;Cusco;Sierra;Ocasional
C007;Lucía Torres;M;56;Arequipa;Sierra;Frecuente
C008;Carmen Flores;F;51;Cusco;Sierra;Frecuente
C009;María Torres;F;26;Trujillo;Costa;Ocasional
C010;Ana Torres;F;48;Trujillo;Costa;Frecuente
C011;Sofía Torres;M;30;Trujillo;Costa;Ocasional
C012;Carmen Flores;F;62;Piura;Costa;Premium
C013;Miguel Soto;F;55;Arequipa;Sierra;Ocasional
C014;Ana García;F;47;Arequipa;Sierra;Frecuente
C015;Carmen Soto;M;52;Piura;Costa;Premium
C016;Carlos Vargas;F;62;Arequipa;Sierra;Premium
C017;Sofía Pérez;F;31;Trujillo;Costa;Premium
C018;María Flores;M;53;Cusco;Sierra;Frecuente
C019;Luis Vargas;F;65;Piura;Costa;Frecuente
C020;María Pérez;M;40;Piura;Costa;Frecuente
C021;Carlos Vargas;F;38;Piura;Costa;Frecuente
C022;Carmen Flores;F;37;Cusco;Sierra;Ocasional
C023;Rosa Soto;M;48;Arequipa;Sierra;Premium
C024;Sofía Pérez;M;40;Cusco;Sierra;Premium
C025;Rosa Torres;M;56;Trujillo;Costa;Ocasional
C026;Luis Soto;F;63;Cusco;Sierra;Frecuente
C027;José Flores;M;28;Cusco;Sierra;Frecuente
C028;Carlos Díaz;M;55;Trujillo;Costa;Ocasional
C029;Juan Pérez;M;21;Piura;Costa;Ocasional
C030;Miguel García;F;57;Cusco;Sierra;Premium
